step,actor_entropy,actor_pg_clipfrac,actor_ppo_kl,actor_pg_clipfrac_lower,actor_pg_loss,actor_grad_norm,perf_mfu_actor,perf_max_memory_allocated_gb,perf_max_memory_reserved_gb,perf_cpu_memory_used_gb,actor_lr,training_global_step,training_epoch,critic_score_mean,critic_score_max,critic_score_min,critic_rewards_mean,critic_rewards_max,critic_rewards_min,critic_advantages_mean,critic_advantages_max,critic_advantages_min,critic_returns_mean,critic_returns_max,critic_returns_min,response_length_mean,response_length_max,response_length_min,response_length_clip_ratio,response_length_non_aborted_mean,response_length_non_aborted_max,response_length_non_aborted_min,response_length_non_aborted_clip_ratio,response_aborted_ratio,prompt_length_mean,prompt_length_max,prompt_length_min,prompt_length_clip_ratio,num_turns_min,num_turns_max,num_turns_mean,group_reward_all_zero_rate,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,group_reward_positive_responses_per_group_max,group_reward_sum_per_group_mean,group_size_mean,group_size_min,group_size_max,timing_s_start_profile,timing_s_agent_loop_generate_sequences_min,timing_s_agent_loop_generate_sequences_max,timing_s_agent_loop_generate_sequences_mean,timing_s_agent_loop_tool_calls_min,timing_s_agent_loop_tool_calls_max,timing_s_agent_loop_tool_calls_mean,timing_s_agent_loop_slowest_generate_sequences,timing_s_agent_loop_slowest_tool_calls,timing_s_agent_loop_slowest_prompt_length,timing_s_agent_loop_slowest_response_length,timing_s_gen,timing_s_reward,timing_s_old_log_prob,timing_s_adv,timing_s_update_actor,timing_s_step,timing_s_stop_profile,timing_per_token_ms_gen,timing_per_token_ms_update_actor,timing_per_token_ms_adv,perf_total_num_tokens,perf_time_per_step,perf_throughput,val-aux_textcraft_reward_mean@1,val-core_textcraft_acc_mean@1,val-aux_num_turns_min,val-aux_num_turns_max,val-aux_num_turns_mean,timing_s_testing,timing_s_save_checkpoint
1,0.2625490128993988,0.0013417082373052835,0.0002455964147429768,0.0,0.0244173314422369,0.2890625,0.2585573323175767,196.36933183670044,201.67578125,138.19406127929688,5e-06,1,0,0.9140625,1.0,0.0,0.9140625,1.0,0.0,-0.15354739129543304,1.6201815605163574,-2.4748666286468506,-0.15354739129543304,1.6201815605163574,-2.4748666286468506,1750.890625,8192.0,274.0,0.0078125,1750.890625,8192.0,274.0,0.0078125,0.0,974.6875,1132.0,788.0,0.0,6,62,19.7265625,0.0,1.0,7.3125,8,7.3125,8.0,8,8,0.00013919919729232788,3.0305139739066362,73.43412736430764,18.160762137340498,0.0,0.0,0.0,73.43412736430764,0.0,1132,8192,81.84512459300458,0.00015009939670562744,4.849169068038464,0.0043930672109127045,21.158651012927294,107.89082870259881,3.596395254135132e-05,0.36519416276093675,0.06064840318546895,1.2592131287836596e-05,348874,107.89082870259881,1616.7917338074749,,,,,,,
2,0.21174503862857819,0.00043803162407130003,6.569776894593815e-05,0.0,0.004007253097370267,0.21435546875,0.3232636002640066,196.36933183670044,201.67578125,139.01353073120117,5e-06,2,0,0.984375,1.0,0.0,0.984375,1.0,0.0,-0.018407830968499184,0.5400605201721191,-1.6201815605163574,-0.018407830968499184,0.5400605201721191,-1.6201815605163574,1511.1875,6963.0,288.0,0.0,1511.1875,6963.0,288.0,0.0,0.0,933.4375,1086.0,784.0,0.0,6,62,18.265625,0.0,1.0,7.875,8,7.875,8.0,8,8,3.692694008350372e-05,3.185498094186187,61.37330533750355,15.601919750348316,0.0,0.0,0.0,61.37330533750355,0.0,1086,6963,63.594313165172935,0.00010921061038970947,2.4320066273212433,0.003683546558022499,14.757302731275558,80.81429702229798,3.840401768684387e-05,0.3287683173682376,0.04716119142530666,1.1771829006310078e-05,312912,80.81429702229798,1935.9940723957698,,,,,,,
3,0.250375896692276,0.0005779603234259412,2.4282466711156303e-05,1.4011253597345785e-06,0.01116039016051218,0.23095703125,0.26764925694963915,200.08550357818604,205.46875,139.67406845092773,5e-06,3,0,0.9375,1.0,0.0,0.9375,1.0,0.0,-0.07312539219856262,2.4748666286468506,-2.4748666286468506,-0.07312539219856262,2.4748666286468506,-2.4748666286468506,2094.5625,8192.0,255.0,0.015625,2094.5625,8192.0,255.0,0.015625,0.0,1010.75,1260.0,786.0,0.0,6,62,23.0625,0.0,1.0,7.5,8,7.5,8.0,8,8,3.234855830669403e-05,2.7938677351921797,76.46358520165086,22.05433932878077,0.0,0.0,0.0,76.46358520165086,0.0,1049,8192,78.61411166004837,0.00010433048009872437,3.0085151959210634,0.0036678779870271683,23.2214769795537,104.87303544767201,3.884360194206238e-05,0.29322244972118416,0.058421749470548706,9.227830298448144e-06,397480,104.87303544767201,1895.0533771778194,,,,,,,
4,0.3025592267513275,0.0011885802014148794,0.00010709010007303732,1.8953504650198738e-06,0.015941990131977946,0.263671875,0.3259850846929804,226.86913394927979,232.8515625,139.5781707763672,5e-06,4,0,0.875,1.0,0.0,0.875,1.0,0.0,-0.12909828126430511,1.20761239528656,-2.4748666286468506,-0.12909828126430511,1.20761239528656,-2.4748666286468506,2599.4453125,8192.0,228.0,0.015625,2599.4453125,8192.0,228.0,0.015625,0.0,922.9375,1154.0,785.0,0.0,6,62,24.71875,0.0,1.0,7.0,8,7.0,8.0,8,8,3.115832805633545e-05,2.484972348436713,84.44214148819447,27.273020013119094,0.0,0.0,0.0,84.44214148819447,0.0,867,8192,86.65538182109594,0.0001026596873998642,3.4883969593793154,0.0036361627280712128,23.284878730773926,113.46181029640138,3.933534026145935e-05,0.26043832013769747,0.05164490197902682,8.06485916642723e-06,450865,113.46181029640138,1986.8579516851755,,,,,,,
5,0.26779547333717346,0.001062225781424786,-3.3451699493980414e-05,0.0,0.02447770448634401,0.3408203125,0.325787318196404,226.86913394927979,232.8515625,139.40811920166016,5e-06,5,0,0.9453125,1.0,0.0,0.9453125,1.0,0.0,-0.17394521832466125,0.7245674133300781,-2.4748666286468506,-0.17394521832466125,0.7245674133300781,-2.4748666286468506,1804.2734375,8192.0,206.0,0.0078125,1804.2734375,8192.0,206.0,0.0078125,0.0,953.0,1204.0,779.0,0.0,6,62,20.0390625,0.0,1.0,7.5625,8,7.5625,8.0,8,8,3.423914313316345e-05,2.170803338289261,73.99865653552115,18.23192001582356,0.0,0.0,0.0,73.99865653552115,0.0,1086,8192,76.26019293814898,0.00010304339230060577,2.7102210726588964,0.003712669014930725,17.06316144578159,96.06281503476202,3.933906555175781e-05,0.3302064670168869,0.048347018102069775,1.0519532188815166e-05,352931,96.06281503476202,1836.9803126854324,,,,,,,
6,0.24568121135234833,0.0007922236945887562,2.3993890408746665e-05,0.0,0.015199625137029216,0.3017578125,0.3264647491325343,226.86913394927979,232.8515625,139.81182479858398,5e-06,6,0,0.9765625,1.0,0.0,0.9765625,1.0,0.0,-0.11498620361089706,0.35355237126350403,-2.4748666286468506,-0.11498620361089706,0.35355237126350403,-2.4748666286468506,1784.796875,7663.0,214.0,0.0,1784.796875,7663.0,214.0,0.0,0.0,955.8125,1099.0,800.0,0.0,6,62,19.890625,0.0,1.0,7.8125,8,7.8125,8.0,8,8,6.0753896832466125e-05,2.3186010476201773,63.25205199792981,18.52312018618977,0.0,0.0,0.0,63.25205199792981,0.0,1080,7663,65.38122866488993,0.00010517425835132599,2.680148871615529,0.003729000687599182,16.66417557001114,84.75465820729733,3.79122793674469e-05,0.28618990547283013,0.047503621942004054,1.063005116220498e-05,350798,84.75465820729733,2069.490972059613,,,,,,,
7,0.2524625062942505,0.0005771110954810865,7.332878431043355e-05,0.0,0.008767221588641405,0.21484375,0.3320082607870708,226.86913394927979,232.8515625,140.2508201599121,5e-06,7,0,0.9140625,1.0,0.0,0.9140625,1.0,0.0,-0.054241836071014404,0.5400605201721191,-2.4748666286468506,-0.054241836071014404,0.5400605201721191,-2.4748666286468506,2085.21875,7957.0,228.0,0.0,2085.21875,7957.0,228.0,0.0,0.0,969.875,1109.0,784.0,0.0,6,62,22.578125,0.0625,0.9375,7.3125,8,7.3125,8.0,8,8,3.228895366191864e-05,2.791972305625677,74.23831093683839,21.726901467176504,0.0,0.0,0.0,74.23831093683839,0.0,1076,7668,76.46591310761869,0.00010884366929531097,2.9969142265617847,0.0037110764533281326,18.972445188090205,98.46638900600374,3.624334931373596e-05,0.2864879026017155,0.048516425406570494,9.489982031361898e-06,391052,98.46638900600374,1985.7131146352722,,,,,,,
8,0.20685620605945587,0.0,-6.295414277701639e-05,0.0,0.0,0.0,0.3255226523958893,226.86913394927979,232.8515625,139.70672988891602,5e-06,8,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.8671875,4494.0,256.0,0.0,1389.8671875,4494.0,256.0,0.0,0.0,942.625,1121.0,781.0,0.0,6,40,15.828125,0.0,1.0,8.0,8,8.0,8.0,8,8,3.386847674846649e-05,2.810554340481758,41.494290022179484,14.592231350354268,0.0,0.0,0.0,41.494290022179484,0.0,1121,4494,43.61843570508063,0.00010456517338752747,2.4043613728135824,0.0036757048219442368,13.710806736722589,59.76743673719466,3.805011510848999e-05,0.24518100147316588,0.04592327391477929,1.2311485575528579e-05,298559,59.76743673719466,2497.6727821941195,,,,,,,
9,0.2093391865491867,0.00031639167355024256,5.739716891639546e-05,0.0,0.006686852662824094,0.2236328125,0.32515760593426696,226.86913394927979,232.8515625,139.2798080444336,5e-06,9,0,0.9921875,1.0,0.0,0.9921875,1.0,0.0,-0.045734211802482605,0.35355237126350403,-2.4748666286468506,-0.045734211802482605,0.35355237126350403,-2.4748666286468506,1384.4765625,6858.0,219.0,0.0,1384.4765625,6858.0,219.0,0.0,0.0,944.375,1085.0,783.0,0.0,6,62,16.3125,0.0,1.0,7.9375,8,7.9375,8.0,8,8,6.652437150478363e-05,2.394765131175518,56.9181610327214,14.40220641749329,0.0,0.0,0.0,56.9181610327214,0.0,970,6858,59.02842187136412,0.00010559149086475372,2.360033169388771,0.0036230329424142838,13.822141043841839,75.23970332928002,3.645755350589752e-05,0.33309306806703864,0.04636855291416383,1.2154035627855345e-05,298093,75.23970332928002,1980.9554451286306,,,,,,,
10,0.2292214334011078,0.0008064986614044756,8.894272241377621e-05,0.0,0.021544289775192738,0.3388671875,0.32445870213073646,226.86913394927979,232.8515625,139.29123306274414,5e-06,10,0,0.96875,1.0,0.0,0.96875,1.0,0.0,-0.1470375955104828,0.5400605201721191,-2.4748666286468506,-0.1470375955104828,0.5400605201721191,-2.4748666286468506,1649.2109375,7959.0,267.0,0.0,1649.2109375,7959.0,267.0,0.0,0.0,956.4375,1069.0,786.0,0.0,6,62,17.515625,0.0,1.0,7.75,8,7.75,8.0,8,8,2.8409063816070557e-05,2.8888388499617577,71.81201892346144,16.845431841851678,0.0,0.0,0.0,71.81201892346144,0.0,1012,7959,73.9997830092907,0.00010692141950130463,2.5768819581717253,0.00359533354640007,16.031976921483874,92.64075742289424,3.7124380469322205e-05,0.35054539817474595,0.048068579742578096,1.077986689493699e-05,333523,92.64075742289424,1800.087830011506,,,,,,,
11,0.2644560933113098,0.0009591411107976455,5.028219720770721e-05,0.0,0.013806467701215297,0.2294921875,0.3320138586324707,226.86913394927979,232.8515625,139.44971084594727,5e-06,11,0,0.90625,1.0,0.0,0.90625,1.0,0.0,-0.10669687390327454,1.6201815605163574,-2.4748666286468506,-0.10669687390327454,1.6201815605163574,-2.4748666286468506,2510.5234375,8192.0,241.0,0.0078125,2510.5234375,8192.0,241.0,0.0078125,0.0,988.6875,1132.0,798.0,0.0,6,62,24.6796875,0.0,1.0,7.25,8,7.25,8.0,8,8,2.7017667889595032e-05,2.596325332298875,79.63668522797525,25.89580414943339,0.0,0.0,0.0,79.63668522797525,0.0,1132,8192,81.79587594605982,9.568966925144196e-05,3.4345582127571106,0.003646496683359146,22.20525342039764,107.46466257609427,3.747083246707916e-05,0.25454065526069897,0.049576474652539164,8.141336960696823e-06,447899,107.46466257609427,2083.936194760063,,,,,,,
12,0.23519191145896912,0.0004351898896857165,-1.4407725871024013e-05,0.0,0.0032828309340402484,0.20849609375,0.3258847744148038,226.86913394927979,232.8515625,139.33710861206055,5e-06,12,0,0.9765625,1.0,0.0,0.9765625,1.0,0.0,-0.023747362196445465,0.7245674133300781,-1.20761239528656,-0.023747362196445465,0.7245674133300781,-1.20761239528656,1481.5390625,8192.0,227.0,0.015625,1481.5390625,8192.0,227.0,0.015625,0.0,920.125,1107.0,780.0,0.0,6,62,16.0,0.0,1.0,7.8125,8,7.8125,8.0,8,8,3.070756793022156e-05,2.479093002155423,74.5527000296861,14.833504249836551,0.0,0.0,0.0,74.5527000296861,0.0,867,8192,76.65779137797654,0.00010686740279197693,2.462085949257016,0.003659827634692192,14.775887414813042,93.92528425529599,3.546290099620819e-05,0.40423436026712367,0.04806526534275728,1.1905246800532809e-05,307413,93.92528425529599,1636.476282384349,,,,,,,
13,0.2602539360523224,0.0004580142776831053,1.5445376391198806e-05,0.0,0.006110868591349572,0.20849609375,0.32680998737390077,226.86913394927979,232.8515625,140.12331008911133,5e-06,13,0,0.921875,1.0,0.0,0.921875,1.0,0.0,-0.03971667215228081,1.20761239528656,-0.7245674133300781,-0.03971667215228081,1.20761239528656,-0.7245674133300781,1918.84375,8192.0,205.0,0.015625,1918.84375,8192.0,205.0,0.015625,0.0,927.0625,1099.0,783.0,0.0,6,62,20.5,0.0,1.0,7.375,8,7.375,8.0,8,8,2.876482903957367e-05,2.1385313775390387,76.48530998080969,19.244799046078697,0.0,0.0,0.0,76.48530998080969,0.0,886,8192,78.64788309112191,9.559653699398041e-05,2.8223511930555105,0.003673633560538292,17.820237116888165,99.31926610507071,3.4889206290245056e-05,0.3202118914838115,0.04891960249066138,1.0084753210582887e-05,364276,99.31926610507071,1833.8637320106116,,,,,,,
14,0.2274138480424881,0.00049501663306728,-5.9142043255633325e-05,0.0,0.010513724177144468,0.24609375,0.3260568422945366,226.86913394927979,232.8515625,139.30087280273438,5e-06,14,0,0.9453125,1.0,0.0,0.9453125,1.0,0.0,-0.06802061200141907,1.6201815605163574,-2.4748666286468506,-0.06802061200141907,1.6201815605163574,-2.4748666286468506,1635.3984375,7875.0,253.0,0.0,1635.3984375,7875.0,253.0,0.0,0.0,957.3125,1101.0,804.0,0.0,6,62,18.28125,0.0,1.0,7.5625,8,7.5625,8.0,8,8,5.25694340467453e-05,2.7394105195999146,65.18691769987345,16.723002100596204,0.0,0.0,0.0,65.18691769987345,0.0,1099,7875,67.28677291423082,0.00010259635746479034,2.586042767390609,0.003748904913663864,15.842485981062055,85.74882464110851,3.620050847530365e-05,0.3214372114700203,0.04773745500776532,1.1296407638191999e-05,331867,85.74882464110851,1935.1110723032634,,,,,,,
15,0.23054376244544983,0.0003382308605068829,-4.344390708865831e-05,0.0,0.013553192606195807,0.2607421875,0.3224875849662181,226.86913394927979,232.8515625,139.67688751220703,5e-06,15,0,0.9296875,1.0,0.0,0.9296875,1.0,0.0,-0.08339180797338486,0.35355237126350403,-2.4748666286468506,-0.08339180797338486,0.35355237126350403,-2.4748666286468506,1231.3125,8192.0,207.0,0.0078125,1231.3125,8192.0,207.0,0.0078125,0.0,940.0625,1357.0,781.0,0.0,6,62,14.8515625,0.0625,0.9375,7.4375,8,7.4375,8.0,8,8,3.290921449661255e-05,2.173455711454153,74.4434016738087,12.078744886181084,0.0,0.0,0.0,74.4434016738087,0.0,1357,8192,76.78621969744563,0.00010266155004501343,2.2787723187357187,0.00373983196914196,13.44002846069634,92.53377475962043,3.7007033824920654e-05,0.4871974753657532,0.04835655856274948,1.3455730704701659e-05,277936,92.53377475962043,1501.8083976472813,,,,,,,
16,0.18996615707874298,0.0,0.00010573305371508468,0.0,0.0,0.0,0.32698466595096304,226.86913394927979,232.8515625,140.13312149047852,5e-06,16,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.3359375,4276.0,224.0,0.0,1298.3359375,4276.0,224.0,0.0,0.0,965.25,1212.0,783.0,0.0,6,48,15.515625,0.0,1.0,8.0,8,8.0,8.0,8,8,3.235042095184326e-05,2.4095628075301647,37.813929595053196,13.73953460039047,0.0,0.0,0.0,37.813929595053196,0.0,888,4276,39.86545488238335,9.467639029026031e-05,2.243704728782177,0.005420457571744919,13.31769249215722,55.45776744000614,3.5960227251052856e-05,0.23988311289320674,0.04596444556016698,1.8708070269259295e-05,289739,55.45776744000614,2612.249044405167,,,,,,,
17,0.24805346131324768,0.0007427135442412691,0.00010419933619232324,0.0,0.018139911990147084,0.2822265625,0.3279107442206409,226.86913394927979,232.8515625,139.7287254333496,5e-06,17,0,0.8984375,1.0,0.0,0.8984375,1.0,0.0,-0.15774868428707123,0.7245674133300781,-2.4748666286468506,-0.15774868428707123,0.7245674133300781,-2.4748666286468506,1706.515625,8192.0,188.0,0.0078125,1706.515625,8192.0,188.0,0.0078125,0.0,930.25,1141.0,779.0,0.0,6,62,18.5078125,0.0625,0.9375,7.1875,8,7.1875,8.0,8,8,5.566887557506561e-05,1.9440287873148918,71.83488435484469,16.808872609966784,0.0,0.0,0.0,71.83488435484469,0.0,819,7898,73.93426514603198,9.720399975776672e-05,2.647769620642066,0.00374409556388855,16.449421048164368,93.06211491301656,3.818795084953308e-05,0.3384741622001702,0.0487381588717367,1.1093419269253139e-05,337506,93.06211491301656,1813.3372549907158,,,,,,,
18,0.21376818418502808,0.0005472999546327628,-6.043999701432767e-05,0.0,0.011262919244472869,0.201171875,0.3285453950706892,226.86913394927979,232.8515625,140.1500358581543,5e-06,18,0,0.9296875,1.0,0.0,0.9296875,1.0,0.0,-0.06845879554748535,2.4748666286468506,-1.6201815605163574,-0.06845879554748535,2.4748666286468506,-1.6201815605163574,1750.890625,8192.0,228.0,0.0078125,1750.890625,8192.0,228.0,0.0078125,0.0,999.8125,1194.0,786.0,0.0,6,62,20.1484375,0.0,1.0,7.4375,8,7.4375,8.0,8,8,3.2046809792518616e-05,2.4714761581271887,75.38833427615464,17.982939027860994,0.0,0.0,0.0,75.38833427615464,0.0,1194,8174,77.4803693946451,9.60230827331543e-05,2.7290294282138348,0.003640705719590187,16.806256014853716,97.0442656185478,3.824383020401001e-05,0.3457185601731489,0.04773284107714992,1.0340270157034245e-05,352090,97.0442656185478,1814.0690629983294,,,,,,,
19,0.18054018914699554,0.0,5.475230341289716e-05,0.0,0.0,0.0,0.32020057267885016,226.86913394927979,232.8515625,139.75165176391602,5e-06,19,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,949.4609375,3613.0,210.0,0.0,949.4609375,3613.0,210.0,0.0,0.0,890.5625,1072.0,783.0,0.0,6,38,12.5625,0.0,1.0,8.0,8,8.0,8.0,8,8,3.0875205993652344e-05,2.3060266692191362,32.87074564024806,9.824635355413193,0.0,0.0,0.0,32.87074564024806,0.0,962,3613,34.944156205281615,0.00010146386921405792,1.9415363110601902,0.0036164484918117523,10.78645252995193,47.70256768539548,3.586709499359131e-05,0.2875328616178721,0.04579787337097409,1.5354969543576434e-05,235523,47.70256768539548,2468.661661499065,,,,,,,
20,0.23978736996650696,0.0006583136055269279,3.478166063075605e-05,0.0,0.00447610070114024,0.1904296875,0.33308212425981576,226.86913394927979,232.8515625,139.90338134765625,5e-06,20,0,0.859375,1.0,0.0,0.859375,1.0,0.0,-0.036851916462183,1.20761239528656,-2.4748666286468506,-0.036851916462183,1.20761239528656,-2.4748666286468506,2487.0,8192.0,252.0,0.015625,2487.0,8192.0,252.0,0.015625,0.0,953.6875,1197.0,786.0,0.0,6,62,24.875,0.0625,0.9375,6.875,8,6.875,8.0,8,8,3.156252205371857e-05,2.6877151764929295,78.33191746845841,25.393659241643036,0.0,0.0,0.0,78.33191746845841,0.0,954,8192,80.42067628912628,0.00010165572166442871,3.385155951604247,0.003611316904425621,21.862482864409685,105.69791235774755,4.394538700580597e-05,0.2526282804619216,0.04964142991137692,8.199934843203622e-06,440408,105.69791235774755,2083.333483964116,,,,,,,
21,0.222092404961586,0.00046001665396033786,1.3883684459869983e-05,0.0,0.03304941303213127,0.3271484375,0.32309130170930034,226.86913394927979,232.8515625,139.6495132446289,5e-06,21,0,0.90625,1.0,0.0,0.90625,1.0,0.0,-0.2216966152191162,0.5400605201721191,-2.4748666286468506,-0.2216966152191162,0.5400605201721191,-2.4748666286468506,1587.0546875,8192.0,224.0,0.0234375,1587.0546875,8192.0,224.0,0.0234375,0.0,938.1875,1206.0,781.0,0.0,6,62,17.4296875,0.0625,0.9375,7.25,8,7.25,8.0,8,8,3.139860928058624e-05,2.353189531713724,78.384421531111,15.955752713503898,0.0,0.0,0.0,78.384421531111,0.0,1206,8192,80.58688793703914,0.0001087728887796402,2.570214932784438,0.0038021840155124664,15.72078313305974,98.9110044836998,4.162825644016266e-05,0.3967002945562443,0.04863637192305113,1.1763054952997907e-05,323231,98.9110044836998,1633.948627289835,,,,,,,
22,0.21606501936912537,0.0002576818806119263,6.338283856166527e-05,0.0,0.0018941914895549417,0.14404296875,0.326944540006056,226.86913394927979,232.8515625,139.53942489624023,5e-06,22,0,0.9296875,1.0,0.0,0.9296875,1.0,0.0,-0.014388347044587135,0.35355237126350403,-2.4748666286468506,-0.014388347044587135,0.35355237126350403,-2.4748666286468506,1638.1796875,8192.0,224.0,0.0078125,1638.1796875,8192.0,224.0,0.0078125,0.0,979.0,1092.0,784.0,0.0,6,62,19.5390625,0.0625,0.9375,7.4375,8,7.4375,8.0,8,8,4.96935099363327e-05,2.4261282570660114,73.09648444317281,16.546277134752017,0.0,0.0,0.0,73.09648444317281,0.0,1086,8192,75.59302128106356,0.00010092183947563171,2.589030958712101,0.0036712922155857086,15.94764519110322,94.16318397969007,3.557838499546051e-05,0.3605040907689249,0.047605053122854755,1.0959113954327351e-05,334999,94.16318397969007,1778.8215406578406,,,,,,,
23,0.20164769887924194,0.00024645572011650074,1.8649623370947666e-05,0.0,0.003922447212971747,0.14111328125,0.3321928690731833,226.86913394927979,232.8515625,140.14263916015625,5e-06,23,0,0.9296875,1.0,0.0,0.9296875,1.0,0.0,-0.04434661194682121,0.35355237126350403,-2.4748666286468506,-0.04434661194682121,0.35355237126350403,-2.4748666286468506,1763.5546875,7779.0,238.0,0.0,1763.5546875,7779.0,238.0,0.0,0.0,991.625,1255.0,784.0,0.0,6,62,20.875,0.0625,0.9375,7.4375,8,7.4375,8.0,8,8,3.0025839805603027e-05,2.619245510548353,72.3212859518826,18.208162915761932,0.0,0.0,0.0,72.3212859518826,0.0,1255,7779,74.53003782220185,0.0001807957887649536,2.696966940537095,0.0036409180611371994,16.40162919089198,93.66302987746894,4.338845610618591e-05,0.3301660700476304,0.04650793871455747,1.032407159565137e-05,352663,93.66302987746894,1882.615800820013,,,,,,,
24,0.25415387749671936,0.0007338498053286457,5.4424520840257173e-05,1.327442987530958e-06,0.018553622416220605,0.2490234375,0.3307982355660595,226.86913394927979,232.8515625,139.88650512695312,5e-06,24,1,0.8515625,1.0,0.0,0.8515625,1.0,0.0,-0.140116885304451,2.4748666286468506,-2.4748666286468506,-0.140116885304451,2.4748666286468506,-2.4748666286468506,1999.5859375,8192.0,264.0,0.0234375,1999.5859375,8192.0,264.0,0.0234375,0.0,952.0,1107.0,783.0,0.0,6,62,21.3984375,0.0625,0.9375,6.8125,8,6.8125,8.0,8,8,0.0001407470554113388,2.8744366336613894,75.98311108350754,19.76776259043254,0.0,0.0,0.0,75.98311108350754,0.0,1076,8192,78.157534442842,0.00014988519251346588,2.9955982342362404,0.003943994641304016,18.702722979709506,99.90835830383003,3.9750710129737854e-05,0.30536608924051467,0.04950390277395761,1.0439288839167546e-05,377803,99.90835830383003,1890.74771327474,,,,,,,
25,0.19341391324996948,0.0005177126149646938,2.4344928988284664e-06,0.0,0.0037088774843141437,0.22705078125,0.3236964194636466,226.86913394927979,232.8515625,139.94585418701172,5e-06,25,1,0.9921875,1.0,0.0,0.9921875,1.0,0.0,-0.02669110707938671,0.35355237126350403,-2.4748666286468506,-0.02669110707938671,0.35355237126350403,-2.4748666286468506,1323.6484375,6750.0,196.0,0.0,1323.6484375,6750.0,196.0,0.0,0.0,910.1875,1079.0,783.0,0.0,6,62,15.328125,0.0,1.0,7.9375,8,7.9375,8.0,8,8,3.482215106487274e-05,2.0272009130567312,58.98412221297622,13.708651749839191,0.0,0.0,0.0,58.98412221297622,0.0,954,6750,61.19982751831412,0.0001038815826177597,2.2582310047000647,0.003650626167654991,13.37027415074408,76.86127789877355,4.0318816900253296e-05,0.36121649747864343,0.046760491694653884,1.276750743240499e-05,285931,76.86127789877355,1860.0458372327068,,,,,,,
26,0.21898193657398224,0.0008028363008634187,-4.5065097118879294e-05,0.0,0.012413817923516035,0.267578125,0.32443987648232764,226.86913394927979,232.8515625,140.30472564697266,5e-06,26,1,0.9765625,1.0,0.0,0.9765625,1.0,0.0,-0.080073282122612,0.35355237126350403,-2.4748666286468506,-0.080073282122612,0.35355237126350403,-2.4748666286468506,1697.9140625,7837.0,247.0,0.0,1697.9140625,7837.0,247.0,0.0,0.0,935.4375,1078.0,784.0,0.0,6,62,18.5625,0.0,1.0,7.8125,8,7.8125,8.0,8,8,5.594082176685333e-05,2.664492292329669,67.0756570994854,17.664041174415615,0.0,0.0,0.0,67.0756570994854,0.0,867,7837,69.2166421636939,0.00010380521416664124,2.6282395869493484,0.0037135928869247437,16.221702948212624,88.09906854107976,3.538839519023895e-05,0.31848197081756524,0.04812576341405654,1.1017307693453695e-05,337069,88.09906854107976,1913.0111451906437,,,,,,,
