environment,run_id,path,rows,size_bytes,sha256,step,training_global_step,training_epoch,critic_score_mean,critic_rewards_mean,actor_pg_loss,actor_continuation_loss,actor_prefix_loss,actor_prefix_loss_share,actor_prefix_token_count,actor_prefix_advantage_abs_mean,response_length_mean,prompt_length_mean,num_turns_mean,group_reward_at_least_one_positive_rate,group_reward_positive_responses_per_group_mean,val-core_textcraft_acc_mean@1,val-aux_textcraft_reward_mean@1
TextCraft,sft_grpo_5epoch_metrics,results/training/textcraft/sft_grpo_5epoch_metrics.csv,115,97452,3d7ebd3cb5ae80497c780114773ea9c7ff23400331753da7626bc91915a76089,115.0,115.0,4.0,0.984375,0.984375,0.0017173179658129,,,,,,1563.5859375,987.8125,18.0625,1.0,7.875,0.9572192513368984,0.9572192513368984
TextCraft,training_metrics_main-change-top3,results/training/textcraft/training_metrics_main-change-top3.csv,1540,1807122,c74a15145c42e953356116c8a414381a9befde66541be9d60e552bf0317d4ca3,1540,1540,4,0.8671875,0.8671875,0.0024583059857832,0.0068361209632712,-0.0043778150720754,0.1240617997452602,2713.0,0.0416343533433973,332.984375,1315.9375,9.046875,0.875,6.9375,0.8441926345609065,0.8441926345609065
TextCraft,training_metrics_main-clip-gp1,results/training/textcraft/training_metrics_main-clip-gp1.csv,1640,1918922,effc289824875b1452de8e2cbbcf76dfdb3a808c9103a4964a788217ec64a499,1640,1640,4,0.8515625,0.8515625,-0.0005645724886562,0.0051666899526026,-0.0057312624703627,0.1484026159123168,1955.5,0.0511717817280441,617.0234375,1225.1875,11.4375,0.875,6.8125,0.8964075270861053,0.8964075270861053
TextCraft,training_metrics_main-clip-gp4,results/training/textcraft/training_metrics_main-clip-gp4.csv,1530,1783235,e3851d7b0839b16e1ae9fed6ac7fc9a74f52fb9109c4087b0e37a4a56c92b1b1,1530,1530,4,0.7265625,0.7265625,-0.0224144903477281,0.0014711634285049,-0.0238856538198888,0.1999029834001953,1813.5,0.2003283016383648,576.734375,1141.4375,13.640625,0.75,5.8125,0.8415032679738562,0.8415032679738562
TextCraft,training_metrics_main-clip-gp5,results/training/textcraft/training_metrics_main-clip-gp5.csv,1530,1791778,d09ccc6d845ee0482d6902620d252afc2e0351d56eed7daec3fc1bce9e266b17,1530,1530,4,0.6796875,0.6796875,-0.0103438809164799,0.0053525831899605,-0.0156964641064405,0.1503952480680188,1813.5,0.1426969766616821,673.3359375,1141.25,14.03125,0.75,5.4375,0.8449754901960784,0.8449754901960784
TextCraft,training_metrics_main-clip-gp6,results/training/textcraft/training_metrics_main-clip-gp6.csv,2199,2524032,4cee9887cd28ba4616495710f72440264535f6ab3140bb2c45a211e42bf48a7f,2199,2199,7,0.9375,0.9375,0.0,0.0,0.0,0.0,1628.0,0.0,472.84375,1156.0625,8.734375,0.9375,7.5,nan,nan
TextCraft,training_metrics_main-clip-gp7,results/training/textcraft/training_metrics_main-clip-gp7.csv,2448,2783801,7d28f44c7db347b13fa9b3972db017bc8fb037b6f8651d50e7c7a55f10e7d3bd,2448,2448,7,0.8125,0.8125,-0.0004443765210453,0.0019652209302876,-0.0024095973640214,0.0871260022352901,1719.0,0.0169546413235366,485.453125,1136.5,12.8125,0.875,6.5,0.8486519607843137,0.8486519607843137
TextCraft,training_metrics_main-diff-gp1,results/training/textcraft/training_metrics_main-diff-gp1.csv,1530,1824391,cb042c586281e07df498e6c22e4ef30762308afa8557d9bf897d877a31ef1d6c,1530,1530,4,0.65625,0.65625,-0.0178518373286351,0.0009332243644166,-0.0187850615475326,0.2059927476240405,1813.5,0.1699876487255096,647.5390625,1140.5625,14.90625,0.6875,5.25,0.8404820261437909,0.8404820261437909
TextCraft,training_metrics_main-fixed-gp1-cons,results/training/textcraft/training_metrics_main-fixed-gp1-cons.csv,1675,1977728,c44d4b2e0debaaabee51e2ef62d1fdda6b6ddd4d1f209ae3e81bf353631f21d0,1675,1675,4,1.0,1.0,-0.1249768219422549,0.0,-0.1249768219422549,0.9999999999919796,2084.5,1.0,623.296875,1190.375,11.78125,1.0,8.0,0.9638733705772812,0.9638733705772812
TextCraft,training_metrics_main-fixed-gp1,results/training/textcraft/training_metrics_main-fixed-gp1.csv,1675,1979857,35e2ea081232a0a32bfcdd3b78b59cf04a3d2c7c7e52a2a1304798f5dd703e10,1675,1675,4,0.9921875,0.9921875,0.000430884771049,0.0054814326140331,-0.0050505479011917,0.1668850436627684,2084.5,0.0453600897453725,401.1484375,1190.375,9.96875,1.0,7.9375,0.9748603351955308,0.9748603351955308
TextCraft,training_metrics_main-fixed-gp2,results/training/textcraft/training_metrics_main-fixed-gp2.csv,1640,1911745,af321f281b7d5bdb89540d65802eb82a5f53df957585731e909bd857bc849fb8,1640,1640,4,0.8671875,0.8671875,0.0019847806543111,0.0019847806543111,0.0,0.0,1955.5,0.0,474.09375,1226.375,10.828125,0.875,6.9375,0.901729709180764,0.901729709180764
TextCraft,training_metrics_main-joint-gp1,results/training/textcraft/training_metrics_main-joint-gp1.csv,2448,2660749,223fd742ec842a24c650d99e3201b276a19af976ed4411353b4a030b07b1554d,2448,2448,7,0.828125,0.828125,0.0021132250258233,0.0026981391856679,,nan,1719.0,0.0221254944917745,569.6796875,1136.0625,14.296875,0.875,6.625,0.8513071895424836,0.8513071895424836
TextCraft,training_metrics_main-pos,results/training/textcraft/training_metrics_main-pos.csv,1530,1773481,6a16dcaa7af12d7b2d68e2e30a9474c0c3ae09d4f1ee851d13cfd13054ed8d2a,1530,1530,4,0.7109375,0.7109375,-8.047066512517631e-05,0.0085207275405991,-0.0086011982057243,0.1204792927295817,1813.5,0.0792337208986282,719.03125,1140.625,13.875,0.75,5.6875,0.8419117647058824,0.8419117647058824
TextCraft,training_metrics_main-pre-dapo,results/training/textcraft/training_metrics_main-pre-dapo.csv,1530,1794012,2d7864526bce8598139d1b9df8255348dedbb071831fd9b37993fa95095d5bfb,1530,1530,4,0.65625,0.65625,-0.0167729672975838,0.0021550226738327,-0.018927989876829,0.1727451971261069,1813.5,0.167484663426876,659.8125,1141.0625,14.84375,0.75,5.25,0.8412990196078431,0.8412990196078431
TextCraft,training_metrics_main-raw-top3,results/training/textcraft/training_metrics_main-raw-top3.csv,1540,1781666,c032ac2d1c14f113bfaa8affb34d3582783a11d91e9d2e85cff4a94cf16036d5,1540,1540,4,0.875,0.875,0.0,0.0,0.0,0.0,2713.0,0.0,340.8203125,1315.8125,8.328125,0.875,7.0,0.8450020234722785,0.8450020234722785
TextCraft,training_metrics_main-split-gp2,results/training/textcraft/training_metrics_main-split-gp2.csv,2448,2769113,0f066bfaf56a1718f70766d8cdf5cf45d987920def7fc6f68d595ac37ad99fa6,2448,2448,7,0.828125,0.828125,0.0030940987053327,0.0030940987053327,0.0,0.0,1719.0,0.0,484.734375,1137.25,14.0,0.875,6.625,0.8533496732026143,0.8533496732026143
TextCraft,training_metrics_no_prefix_opt,results/training/textcraft/training_metrics_no_prefix_opt.csv,1530,1296905,4a1dbb5bca1f86302497bd08614142f3132425224f0547109f099a02e7278a25,1530.0,1530.0,4.0,0.625,0.625,0.0,,,,,,756.140625,1141.5,15.765625,0.625,5.0,0.8423202614379085,0.8423202614379085
TextCraft,training_metrics_prefix_grpo_w5,results/training/textcraft/training_metrics_prefix_grpo_w5.csv,618,970294,a6e8375428df2c63fe381cea2683536e9f465f23cd63da53b918c447c3b9373c,618,618,1,0.7890625,0.7890625,-0.0123610843438655,0.0021169929532334,-0.0144780774135142,0.1572075335982183,1263.0,0.1200553774833679,570.5234375,1111.125,10.453125,0.875,6.3125,,
BabyAI,dapo/training_metrics_dapo,results/training/babyai/dapo/training_metrics_dapo.csv,2000,1876059,442df913713ec6fd4b9fc75cc3f85843ad07af4dd49de9d030962ef450abc6d4,2000.0,2000.0,39.0,0.932722508907318,0.932722508907318,0.0106155633111484,,,,,,718.5703125,238.5,7.6171875,1.0,7.9375,,
BabyAI,grpo/training_metrics_grpo_base,results/training/babyai/grpo/training_metrics_grpo_base.csv,1450,1390284,25809e82e982c0255b1756b220e86fcf7b2b19852b32447ec1401198c2e34a10,2450.0,2450.0,49.0,0.8205994963645935,0.8205994963645935,0.0070139116724021,,,,,,1772.734375,130.0,18.5625,1.0,7.25,,
BabyAI,grpo-mis/training_metrics_grpo_mis,results/training/babyai/grpo-mis/training_metrics_grpo_mis.csv,2000,1915366,25c93b4d05a68647be2c8de4b969a58883e00d0b94e27d9bcb1ef12ae4f929ae,2000.0,2000.0,39.0,0.872771680355072,0.872771680355072,0.0168544078478589,,,,,,1272.765625,238.5,11.15625,1.0,7.4375,,
BabyAI,prefix_grpo/training_metrics_prefix_grpo,results/training/babyai/prefix_grpo/training_metrics_prefix_grpo.csv,2220,2912079,c154d1d9752fa85e6f9040f1790e7f67258f741e0fa57cbcc4878f67cd0521c9,2220,2220,2,0.3907176852226257,0.3907176852226257,-0.0084399999414017,0.0009159786477539,-0.0093559784436365,0.2913290961855137,1886.0,0.0676814345642924,2433.9609375,926.75,26.984375,0.4375,3.5,,
BabyAI,prefix_grpo/training_metrics_prefix_grpo_new,results/training/babyai/prefix_grpo/training_metrics_prefix_grpo_new.csv,790,1033287,a383e02dadf342a7b4f29905515cd2568390934a8f74af798e53abda7a769ed7,790,790,1,0.3444521427154541,0.3444521427154541,-0.0228924675466259,-0.0062086555699352,-0.016683811933035,0.2197182927517384,439.5,0.1204108817619271,1932.1015625,465.0625,18.34375,0.5,3.125,,
BabyAI,prefix_grpo_fixedgp1/training_metrics_prefix_grpo,results/training/babyai/prefix_grpo_fixedgp1/training_metrics_prefix_grpo.csv,946,1363838,316f0eef00f81c3726a4eabbe12e02eae84c1764dfba9599cc5597e1a193b6ae,946,946,1,0.2852955460548401,0.2852955460548401,-0.0021586620132438,-0.0001791492832126,-0.0098975636065006,0.1214298222069422,905.5,0.0720749688334763,1340.7109375,655.5,13.71875,0.3125,2.4375,,
BabyAI,prefix_grpo_fixedgp2/training_metrics_prefix_grpo,results/training/babyai/prefix_grpo_fixedgp2/training_metrics_prefix_grpo.csv,770,1105068,4f9d8897e8d781bb213593443f2f92fbb0d0bbcb4f4e819390c03e09000251f1,770,770,1,0.2560720145702362,0.2560720145702362,-0.0067763243368972,9.325130486104172e-05,-0.0343478781433077,0.2316842883723267,460.0,0.2510184253624175,2222.4453125,452.125,17.2578125,0.3125,2.1875,,
BabyAI,prefix_grpo_raw/training_metrics_prefix_grpo,results/training/babyai/prefix_grpo_raw/training_metrics_prefix_grpo.csv,812,1173769,e6a1cf4243d682c46d50acf1315340a7db7013c76df8f15c3e32c907c072aa06,812,812,1,0.4167456030845642,0.4167456030845642,0.0020926403813064,0.0024429843761026,-0.0017517203086754,0.0293088937860635,523.0,0.0126345409080386,2154.3515625,468.25,18.09375,0.4375,3.5,,
BabyAI,replay_grpo/training_metrics_replay_grpo,results/training/babyai/replay_grpo/training_metrics_replay_grpo.csv,1031,990226,58755fba13a6382225c46395643bc7980d31aa5c659a107f5b60c0cb74a8b6bc,1031.0,1031.0,1.0,0.1553907245397567,0.1553907245397567,-0.0028157608903711,,,,,,3452.6875,922.0625,30.859375,0.25,1.3125,,
BabyAI,sft-dapo/training_metrics_sft_drpo,results/training/babyai/sft-dapo/training_metrics_sft_drpo.csv,2000,1858065,a325f043594143b07ed75a548af6c889834766ebc04010b903b50cdfd7b5e8ed,2000.0,2000.0,39.0,0.9301211833953856,0.9301211833953856,-0.0032186244061449,,,,,,510.8046875,238.5,9.234375,1.0,8.0,,
BabyAI,sft-grpo/training_metrics_sft_grpo,results/training/babyai/sft-grpo/training_metrics_sft_grpo.csv,2000,1868642,a68acdb8186002f75afd0b6f81845cb67898521e0cbada61f531339fe2ff26d5,2000.0,2000.0,39.0,0.9374581575393676,0.9374581575393676,0.0108650405309163,,,,,,774.28125,130.0,12.96875,1.0,8.0,,
BabyAI,sft_grpo_mis/training_metrics_sft_grpo_mis,results/training/babyai/sft_grpo_mis/training_metrics_sft_grpo_mis.csv,2000,2408661,b4a97451614ee20ee1f3d991188fe6434bdec0cdd9692efcd64bd26074d72831,2000.0,2000.0,39.0,0.9223087430000304,0.9223087430000304,0.0122699823623406,,,,,,423.7734375,238.5,8.0,1.0,7.875,,
ALFWorld,grpo/training_metrics_grpo,results/training/alfworld/grpo/training_metrics_grpo.csv,49,37210,9c2b7b655fa7862504d6a0f5df71ed7fd7fbb48c0bf889c12b03b44821265d36,49.0,49.0,0.0,0.0,0.0,0.0,,,,,,3100.984375,176.0,40.4296875,0.0,0.0,,
ALFWorld,replay_grpo/training_metrics_replay_grpo,results/training/alfworld/replay_grpo/training_metrics_replay_grpo.csv,304,312612,05654c9cfc0c1d0e318fffeef0c88e4b8b2a414ebe9e16f4c1d6c2a203614a69,304.0,304.0,0.0,0.765625,0.765625,0.0141109168180264,,,,,,2599.171875,610.8125,16.578125,0.9375,6.125,,
ALFWorld,sft_grpo/training_metrics_sft_grpo,results/training/alfworld/sft_grpo/training_metrics_sft_grpo.csv,19,15120,da5e6e2cd7e6ab0c4aa0ca2ad372d980a0274f66b6f372ca0cc81e6c97407bf4,19.0,19.0,0.0,0.0,0.0,0.0,,,,,,1726.78125,176.0,40.9140625,0.0,0.0,,
ALFWorld,sft_grpo_mis/training_metrics_sft_grpo_mis,results/training/alfworld/sft_grpo_mis/training_metrics_sft_grpo_mis.csv,323,320416,f98ccfea1c1d9a443175bff200bde27448976e99970d3064712cae004be30aa5,323.0,323.0,2.0,0.8203125,0.8203125,0.0011870679445564,,,,,,2410.6953125,599.8125,18.0625,0.875,6.5625,,
ALFWorld,prefix_grpo/training_metrics_prefix_grpo,results/training/alfworld/prefix_grpo/training_metrics_prefix_grpo.csv,1120,1487630,ba7654e3994783f8814a73a0761f030ea368f256a58d930f7df6a128e69bc0ce,1120,1120,0,0.9921875,0.9921875,0.0009365330042783,0.0009365330042783,0.0,0.0,394.5,0.0,1548.515625,624.0,14.234375,1.0,7.9375,,
